D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;4.0;89.75;2.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;7.0;71.875;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;5.092;3.0;103.875;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;26.765;;30.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;16.598;11.267;8.0;59.375;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;21.103;8.867;37.0;47.375;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;14.55;;11.0;78.625;4.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;3.0;87.875;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;9.0;74.0;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;5.198;4.0;102.875;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;26.071;;33.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;16.675;11.033;9.0;55.625;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;20.41;8.7;44.0;40.75;2.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;14.388;;21.0;73.375;3.0
