D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;3.0;;3.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;8.723;2.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;34.244;;18.0;38.0;2.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;50.76;;53.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;38.79;24.689;30.0;20.625;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;2.0;;3.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;8.8;2.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;34.789;;21.0;33.875;2.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;51.345;;63.0;;6.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;39.105;24.998;34.0;20.25;3.0
